c1;c2;c3;c4;c5;score_cv;score_test
4;6;0,5;0,9;0,5;0,820292125;0,811659193
4;6;0,6;0,5;0,8;0,802272875;0,811659193
4;6;0,6;0,9;0,4;0,8359985;0,811659193
4;6;0,6;0,9;0,6;0,813433375;0,811659193
4;6;0,6;0,9;0,7;0,82463475;0,811659193
4;6;0,7;0,6;0,8;0,815827875;0,811659193
4;6;0,8;0,6;0,4;0,818019375;0,811659193
4;6;0,8;0,6;0,9;0,800040625;0,811659193
4;6;0,8;0,8;0,6;0,8178165;0,811659193
4;6;0,8;0,8;0,9;0,81793825;0,811659193
4;6;0,9;0,5;0,6;0,79318175;0,811659193
4;6;0,9;0,5;0,7;0,79326275;0,811659193
4;7;0,2;0,6;0,8;0,809050375;0,811659193
4;7;0,2;0,9;0,5;0,820373375;0,811659193
4;7;0,2;0,9;0,7;0,820373375;0,811659193
4;7;0,3;0,9;0,4;0,829302;0,811659193
4;7;0,3;0,9;0,5;0,813677;0,811659193
4;7;0,6;0,5;0,7;0,784415625;0,811659193
4;7;0,6;0,5;0,8;0,797849125;0,811659193
4;7;0,6;0,6;0,7;0,811241875;0,811659193
4;7;0,6;0,9;0,7;0,827029125;0,811659193
4;7;0,7;0,6;0,6;0,786647625;0,811659193
4;7;0,7;0,8;0,4;0,802150875;0,811659193
4;7;0,7;0,8;0,7;0,8222405;0,811659193
4;7;0,7;0,9;0,8;0,81124175;0,811659193
4;7;0,7;0,9;0,9;0,80900975;0,811659193
4;7;0,8;0,6;0,9;0,797808375;0,811659193
4;7;0,9;0,5;0,9;0,7864855;0,811659193
4;8;0,2;0,6;0,8;0,809050375;0,811659193
4;8;0,2;0,9;0,4;0,81359575;0,811659193
4;8;0,2;0,9;0,7;0,8226055;0,811659193
4;8;0,3;0,9;0,6;0,809091;0,811659193
4;8;0,4;0,9;0,5;0,82041375;0,811659193
4;8;0,6;0,5;0,7;0,784415625;0,811659193
4;8;0,6;0,5;0,9;0,79784925;0,811659193
4;8;0,7;0,6;0,6;0,80689925;0,811659193
4;8;0,7;0,8;0,4;0,790909;0,811659193
4;8;0,9;0,5;0,9;0,793181875;0,811659193
4;8;0,9;0,6;0,4;0,79565725;0,811659193
4;8;0,9;0,8;0,6;0,81136375;0,811659193
4;9;0,2;0,6;0,8;0,809050375;0,811659193
4;9;0,3;0,9;0,6;0,806899375;0,811659193
4;9;0,5;0,6;0,9;0,809090875;0,811659193
4;9;0,6;0,5;0,9;0,800081375;0,811659193
4;9;0,6;0,9;0,4;0,815787125;0,811659193
4;9;0,6;0,9;0,6;0,82248375;0,811659193
4;9;0,7;0,8;0,9;0,815746875;0,811659193
4;9;0,8;0,6;0,8;0,80012175;0,811659193
4;9;0,9;0,5;0,9;0,7864855;0,811659193
4;10;0,2;0,6;0,8;0,809050375;0,811659193
